date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:56	1761/1761	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226e1-5c6a73fb45559%22	https://hoangduyentv.xyz/assets/flags/4x3/au.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/au.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:56	1733/1733	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226c5-5c6a73fb3efc8%22	https://hoangduyentv.xyz/assets/flags/1x1/au.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/au.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:56	14674/14674	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223952-5c6a73fb45559%22	https://hoangduyentv.xyz/assets/flags/4x3/aw.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/aw.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:56	14194/14194	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223772-5c6a73fb3efc8%22	https://hoangduyentv.xyz/assets/flags/1x1/aw.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/aw.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:57	563/563	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22233-5c6a73fb45559%22	https://hoangduyentv.xyz/assets/flags/4x3/ax.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/ax.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:57	549/549	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22225-5c6a73fb3efc8%22	https://hoangduyentv.xyz/assets/flags/1x1/ax.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/ax.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:57	555/555	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2222b-5c6a73fb45559%22	https://hoangduyentv.xyz/assets/flags/4x3/az.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/az.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:58	599/599	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22257-5c6a73fb3efc8%22	https://hoangduyentv.xyz/assets/flags/1x1/az.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/az.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:59	1780/1780	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226f4-5c6a73fb45559%22	https://hoangduyentv.xyz/assets/flags/4x3/ba.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/ba.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:59	1719/1719	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226b7-5c6a73fb3efc8%22	https://hoangduyentv.xyz/assets/flags/1x1/ba.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/1x1/ba.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
